STRATA,GROUP,D,R,U,L
3,2,0,1,1,28
3,2,0,1,1,31
3,2,1,0,0,12
3,2,0,1,0,34
3,2,1,0,0,18
3,2,0,NaN,0,1
3,2,0,1,1,25
3,2,0,1,0,6
3,2,0,NaN,1,0
3,2,0,NaN,1,0
3,2,0,1,0,40
3,2,0,NaN,1,0
3,2,1,0,0,44
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,0,NaN,1,0
3,2,1,1,0,61
3,2,0,1,0,13
3,2,0,NaN,0,1
3,2,0,1,0,13
3,2,0,1,1,29
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,1,0,0,17
3,2,0,1,1,35
3,2,0,NaN,0,1
3,2,0,NaN,0,1
3,2,0,NaN,1,0
3,2,0,1,0,17
3,2,1,0,0,8
3,2,0,0,,15
3,2,0,1,1,36
4,1,0,NaN,0,1
4,1,1,0,0,10
4,1,0,1,0,13
4,1,0,1,0,11
4,1,0,1,0,15
4,1,0,1,1,26
4,1,0,NaN,0,1
4,1,0,NaN,0,1
4,1,0,NaN,1,0
4,1,0,1,0,10
4,1,1,0,0,12
4,1,0,1,0,8
4,1,0,1,0,15
4,1,0,1,1,19
4,1,0,1,0,12
4,1,0,1,1,40
4,1,0,NaN,0,1
4,1,1,0,0,13
4,1,0,0,1,24
4,1,0,1,1,18
4,1,1,0,1,30
4,1,0,NaN,0,1
4,1,0,NaN,0,1
4,1,0,1,0,35
4,1,0,1,0,16
4,1,0,NaN,0,1
4,1,0,1,0,31
4,1,0,1,0,32
4,1,0,NaN,0,1
4,1,0,NaN,0,1
4,1,0,1,1,24
4,1,0,1,1,25
4,1,0,1,0,7
4,1,0,NaN,1,0
4,1,0,NaN,0,1
4,1,0,1,0,8
4,1,0,NaN,0,1
4,1,0,NaN,1,0
4,1,0,1,1,16
4,1,1,0,0,23
4,1,1,0,0,50
4,1,0,NaN,1,0
4,1,0,NaN,1,0
4,1,0,NaN,1,0
4,1,1,0,0,7
4,1,1,1,0,38
4,1,1,0,1,42
4,1,0,NaN,1,0
4,1,0,1,0,7
4,1,1,0,0,12
4,1,1,0,0,7
4,1,0,1,0,15
4,1,0,NaN,0,1
4,1,0,1,0,16
4,1,0,NaN,1,0
4,1,1,0,0,6
4,1,1,0,0,14
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,1,0,10
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,NaN,1,0
4,2,0,1,0,7
4,2,0,NaN,0,1
4,2,0,1,0,8
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,1,0,12
4,2,0,NaN,0,1
4,2,0,1,0,20
4,2,0,1,0,13
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,NaN,0,1
4,2,0,NaN,1,0
4,2,0,1,1,30
4,2,0,1,0,13
4,2,0,1,0,14
4,2,0,1,0,13
4,2,0,1,0,6
4,2,0,1,0,8
