rat,dose,testtime,lacrimation,palp_closure,salivation,urination,defecation,pupil,approach,touch,click,tail_pinch,removal,handling,clonic_mvts,tonic_mvts,arousal,vocalizations,hc_posture,rears,motor_activity,gait,mobility,righting,foot_splay,forelimb_grip,hindlimb_grip,piloerection,weight,temperature
7,0,4,1,1,1,0,0,1,2,2,3,2,2,2,0,0,2,0,3,5,275,1,1,1,40,0.705,0.34,0,154.3,37.6
7,0,24,1,1,1,0,0,1,1,2,2,2,1,2,2,0,2,0,3,0,220,1,1,1,32,0.425,0.415,0,154,37.5
8,150,0,1,1,1,1,0,1,1,2,3,4,2,2,0,0,3,0,3,5,0,1,1,1,22.5,0.83,0.42,0,156.1,37.2
8,150,4,1,1,1,0,0,2,2,4,4,4,1,2,0,0,3,0,1,4,85,1,1,1,24.5,0.875,0.355,0,155.4,38
8,150,24,1,1,1,2,2,1,1,2,3,4,1,2,2,0,3,0,3,3,21,1,1,1,34,0.715,0.395,0,152.1,37.6
9,1500,0,1,1,1,1,0,1,2,2,3,4,2,2,0,0,3,0,3,3,0,1,1,1,41.5,0.725,0.255,0,150.8,37.3
9,1500,4,1,1,1,2,0,2,2,2,3,4,5,3,2,0,5,0,2,2,114,1,1,3,27,0.465,0.21,0,148.5,37.3
9,1500,24,1,1,1,0,0,1,2,2,3,4,2,2,2,0,2,0,2,0,146,1,1,1,26,0.475,0.215,0,147,37.6
10,500,0,1,1,1,1,0,1,2,4,3,4,5,2,0,0,4,0,3,13,0,1,1,1,36.5,0.78,0.315,0,167.8,37.2
10,500,4,1,1,1,0,0,1,1,2,2,2,2,2,2,0,3,0,1,4,111,1,1,2,22,0.81,0.47,0,164.1,37.5
10,500,24,1,1,1,0,0,1,1,2,3,4,1,2,2,0,2,0,1,0,96,1,1,1,39.5,0.84,0.39,0,161.2,37.8
11,1500,0,1,1,1,1,0,1,2,2,3,4,4,2,0,0,4,0,2,10,0,1,1,1,22.5,0.515,0.295,0,153.8,37.3
11,1500,4,2,1,1,0,0,1,2,2,3,4,1,3,0,0,3,0,3,5,68,2,1,1,35.5,0.54,0.35,0,152.4,36.3
11,1500,24,1,1,1,0,3,2,1,2,3,2,2,3,0,0,3,0,2,4,137,1,1,1,39.5,0.525,0.195,0,147.6,37.2
12,0,0,1,1,1,0,0,1,2,2,3,4,3,2,0,0,4,0,1,9,0,1,1,1,36,0.655,0.265,0,150.5,37.2
12,0,4,1,1,1,0,0,1,2,2,3,4,4,3,2,0,2,0,3,0,259,1,1,1,27,0.695,0.35,0,151.6,38.2
12,0,24,1,1,1,1,3,1,1,2,3,4,1,2,2,0,3,0,1,2,81,1,1,1,21,0.49,0.34,0,153.4,37.6
13,5000,0,1,1,1,1,2,1,2,2,3,4,5,4,0,0,4,0,3,11,0,1,1,1,33.5,0.845,0.23,0,154.5,37.3
13,5000,4,2,1,1,2,0,2,1,1,2,1,1,1,0,0,1,0,4,4,14,3,3,4,55.5,0,0.01,0,153.1,35.2
13,5000,24,3,3,1,0,0,2,1,1,1,1,1,1,0,0,1,0,5,0,0,4,4,4,0,0,0,0,147.2,26.8
14,150,0,1,1,1,1,0,1,1,2,3,4,2,4,2,0,3,0,1,5,0,1,1,1,34,0.64,0.555,0,154.7,37.2
14,150,4,1,1,1,0,0,1,2,2,3,4,2,4,2,0,3,0,3,3,252,1,1,2,30.5,0.695,0.31,0,152.4,37.8
14,150,24,1,1,1,0,0,1,1,2,3,4,2,3,2,0,2,0,3,0,216,1,1,1,33,0.635,0.355,0,151.5,37.2
15,1500,0,1,1,1,1,0,1,2,2,3,4,5,2,0,0,4,0,3,6,0,1,1,1,24,0.72,0.43,0,153.5,37.2
15,1500,4,1,1,1,0,0,1,2,2,3,2,1,2,0,0,3,0,1,8,120,2,1,2,40.5,0.775,0.335,0,151.5,37.4
15,1500,24,1,1,1,0,0,1,1,2,3,2,0,2,2,0,2,0,0,0,154,1,1,1,35.5,0.575,0.255,0,149.9,37.5
16,150,0,1,1,1,0,0,1,2,2,3,4,2,3,0,0,4,0,3,11,0,1,1,1,37,0.74,0.365,0,162.1,37.5
16,150,4,1,1,1,0,0,1,2,2,3,4,1,4,0,0,4,0,1,6,256,1,1,1,31.5,0.735,0.31,0,159.7,38.4
16,150,24,1,1,1,1,1,1,1,2,3,4,1,2,2,0,2,0,3,0,221,1,1,1,39,0.84,0.285,0,160.4,37.4
17,1500,0,1,1,1,1,0,1,2,2,3,4,4,2,0,0,4,0,2,6,0,1,1,1,41,0.795,0.295,0,144.6,37.7
17,1500,4,2,1,1,0,0,2,1,2,3,2,4,2,2,0,5,0,2,0,62,1,1,1,33,0.595,0.23,0,142.6,37.3
17,1500,24,2,1,1,1,0,2,1,2,3,2,1,2,0,0,2,0,3,0,45,2,1,2,36,0.635,0.2,0,139.2,37.3
18,0,0,1,1,1,0,0,1,2,2,3,4,4,2,0,0,4,0,3,8,0,1,1,1,25,0.76,0.295,0,148.8,37.3
18,0,4,1,1,1,0,0,1,2,2,4,3,1,2,2,0,3,0,1,3,345,1,1,1,36,0.8,0.255,0,147.7,37.3
18,0,24,1,1,1,0,0,1,1,2,3,4,1,2,2,0,3,0,3,0,146,1,1,1,34,0.595,0.15,0,148.6,37.5
19,0,0,1,1,1,1,0,1,2,2,3,4,2,3,0,0,4,0,2,8,0,1,1,1,26,0.76,0.21,0,162,37.5
19,0,4,1,1,1,1,3,1,2,2,3,4,1,2,2,0,3,0,1,1,306,1,1,1,22,0.79,0.245,0,159.7,37.5
19,0,24,1,1,1,1,3,2,1,2,1,1,1,2,2,0,2,0,1,0,82,1,1,1,29,0.58,0.22,0,158.8,37.8
20,0,0,1,1,1,0,2,1,1,2,3,3,4,2,0,0,4,0,3,11,0,1,1,1,27.5,0.6,0.26,0,156.9,37.2
20,0,4,1,1,1,1,0,1,2,2,3,4,4,2,0,0,3,0,3,7,117,1,1,1,19,0.88,0.3,0,153.8,37.6
20,0,24,1,1,1,1,2,1,1,2,3,4,1,2,2,0,2,0,3,1,155,1,1,1,32.5,0.635,0.195,0,151,37.9
21,500,0,1,1,1,0,0,1,2,4,3,4,5,2,0,0,4,0,1,9,0,1,1,1,36,0.745,0.36,0,147.9,37.6
21,500,4,1,1,1,1,0,1,2,2,3,2,1,2,2,0,2,0,1,0,236,1,1,1,31,0.855,0.295,0,145.1,38
21,500,24,1,1,1,1,6,1,2,2,3,4,1,2,2,0,2,0,1,0,35,1,1,1,36.5,0.76,0.22,0,144.5,38
22,150,0,1,1,1,0,0,1,2,3,3,4,2,3,0,0,4,0,1,9,0,1,1,1,31,0.845,0.245,0,162.5,37
22,150,4,1,1,1,0,0,1,2,2,3,4,4,2,0,0,4,0,1,7,144,1,1,1,34.5,0.86,0.335,0,157.5,38
22,150,24,2,1,1,0,0,1,1,2,3,4,2,2,2,0,2,0,1,0,79,1,1,1,36.5,0.75,0.36,0,150.9,38.4
23,500,0,1,1,1,1,1,1,2,2,3,4,3,2,0,0,3,0,1,4,0,1,1,1,38.5,0.775,0.265,0,148.2,37.8
23,500,4,1,1,1,0,0,1,1,2,3,4,1,2,0,0,3,0,6,5,116,1,1,1,32,0.685,0.41,0,146,38.2
23,500,24,2,1,1,0,0,1,1,2,3,2,0,4,2,0,2,0,0,0,33,1,1,1,34,0.79,0.23,0,142.2,37.5
24,500,0,1,1,1,1,0,1,1,3,3,4,5,2,0,0,4,0,1,7,0,1,1,1,32,0.78,0.26,0,153.9,37.2
24,500,4,1,1,1,0,0,1,2,2,3,3,4,2,0,0,4,0,2,5,226,1,1,1,32,0.795,0.38,0,150.4,37.7
24,500,24,1,1,1,0,0,1,2,2,3,2,2,2,2,0,2,0,2,0,168,1,1,1,38.5,0.465,0.215,0,151,36.8
25,1500,0,1,1,1,0,0,1,1,2,3,4,3,2,2,0,3,0,1,9,0,1,1,1,37.5,0.68,0.295,0,161,37.5
25,1500,4,1,1,1,0,0,1,1,2,2,4,2,2,0,0,4,0,1,5,88,2,1,2,37.5,0.555,0.145,0,157.9,37.4
25,1500,24,1,1,1,0,2,2,1,2,2,2,2,2,2,0,3,0,2,0,74,1,1,1,27.5,0.745,0.11,0,152,38.1
26,500,0,1,1,1,0,0,1,1,2,3,4,2,3,0,0,3,0,1,6,0,1,1,1,29.5,0.66,0.345,0,156.1,37.2
26,500,4,1,1,1,0,0,1,2,2,3,4,1,2,0,0,4,0,3,6,194,1,1,1,30.5,0.705,0.315,0,154.6,37.8
26,500,24,1,1,1,1,0,2,1,2,3,2,1,2,2,0,2,0,1,0,152,1,1,1,30,0.6,0.3,0,152.6,37.7
27,0,0,1,1,1,1,0,1,2,4,3,4,2,2,0,0,3,0,3,5,0,1,1,1,37,0.645,0.26,0,151.2,37.2
27,0,4,1,1,1,0,0,1,2,2,3,4,4,2,2,0,2,0,3,1,54,1,1,1,34,0.82,0.225,0,149.6,37.9
27,0,24,1,1,1,0,1,1,1,2,3,4,1,2,2,0,3,0,1,2,142,1,1,1,33.5,0.81,0.16,0,141.7,38
28,500,0,1,1,1,2,0,1,2,3,3,4,3,3,0,0,5,0,2,15,0,1,1,1,32.5,0.94,0.28,0,153.1,37.2
28,500,4,1,1,1,1,0,1,2,2,3,4,1,3,0,0,4,0,6,6,67,1,1,1,35.5,0.695,0.28,0,151.5,37.5
28,500,24,1,1,1,1,3,1,1,2,3,2,0,4,2,0,2,0,0,1,85,1,1,1,41.5,0.85,0.27,0,143.1,37.9
29,5000,0,1,1,1,1,0,1,1,3,3,4,3,2,2,0,3,0,3,2,0,1,1,1,44,0.77,0.335,0,166.3,37.6
29,5000,4,2,1,2,0,0,2,1,1,1,1,4,1,0,0,1,0,1,0,127,4,4,4,45,0,0,0,161.7,34
29,5000,24,2,3,1,1,0,2,1,1,1,1,1,1,0,0,1,0,3,0,28,4,3,4,39.5,0,0,0,154.3,32.8
30,0,0,1,1,1,0,1,1,2,2,3,4,3,4,0,0,4,0,2,7,0,1,1,1,25,0.68,0.395,0,156,37.2
30,0,4,1,1,1,0,0,2,2,2,3,4,2,3,0,0,3,0,3,4,55,1,1,1,24,0.78,0.3,0,154.1,37.4
30,0,24,1,1,1,0,0,1,1,2,2,4,1,2,2,0,3,0,3,0,34,1,1,1,34,0.83,0.21,0,148.4,37.5
31,500,0,1,1,1,2,0,1,2,4,3,4,4,2,0,0,4,0,3,12,0,1,1,1,27,0.79,0.24,0,167.6,37.2
31,500,4,1,1,1,0,0,1,2,2,3,4,1,2,0,0,3,0,4,3,132,1,1,1,45,0.77,0.325,0,163.1,37.2
31,500,24,1,1,1,2,1,2,1,2,3,3,0,2,2,0,3,0,0,1,101,1,1,1,31.5,0.865,0.315,0,162.8,38.5
32,1500,0,1,1,1,1,0,1,1,3,3,4,4,3,0,0,3,0,1,3,0,1,1,1,21.5,0.8,0.24,0,163.5,37.8
32,1500,4,1,1,1,0,0,1,2,4,3,4,3,3,0,0,4,0,2,6,85,2,1,1,33.5,0.765,0.24,0,161.3,38
32,1500,24,2,1,1,0,0,1,2,2,3,4,4,2,2,0,3,0,1,2,47,1,1,1,36,0.69,0.39,0,152.9,38.1
33,1500,0,1,1,1,1,0,1,1,2,3,4,3,2,0,0,3,0,1,9,0,1,1,1,30,0.7,0.46,0,160.9,37
33,1500,4,2,1,1,0,0,2,1,2,3,2,1,2,0,0,4,0,4,9,56,2,1,1,31.5,0.515,0.335,0,156.2,37.4
33,1500,24,1,1,1,0,0,1,1,2,2,2,1,2,2,0,2,0,4,1,156,1,1,2,44,0.675,0.29,0,152.9,37.8
34,5000,0,1,1,1,0,0,1,2,3,3,4,4,2,0,0,3,0,3,5,0,1,1,1,27.5,0.69,0.275,0,152.8,36.8
34,5000,4,2,1,2,0,0,2,1,2,3,1,4,3,2,0,1,0,3,3,70,2,2,3,45.5,0,0.125,1,150.5,36.2
34,5000,24,2,2,2,0,0,2,1,1,1,1,1,1,0,0,1,0,1,0,1,4,4,4,0,0,0,0,144.8,30
35,150,0,1,1,1,0,0,1,2,2,3,4,2,2,0,0,3,0,2,4,0,1,1,1,27,0.76,0.41,0,152.5,37.5
35,150,4,2,1,1,0,4,1,1,3,3,4,1,3,2,0,2,0,1,2,82,1,1,1,35,0.72,0.2,0,148.6,38.3
35,150,24,1,1,1,1,0,1,1,2,3,2,1,2,0,0,3,0,2,0,96,1,1,1,36,0.585,0.18,0,147.9,37.9
36,500,0,1,1,1,0,0,1,2,2,3,4,5,2,0,0,4,0,1,7,0,1,1,1,28,0.745,0.27,0,153.3,37.8
36,500,4,1,1,1,0,0,1,2,2,3,4,1,2,2,0,3,0,6,4,49,1,1,1,32.5,0.785,0.24,0,150.4,38.3
36,500,24,2,1,1,0,0,1,1,2,3,4,1,3,0,0,2,0,1,1,237,1,1,1,27,0.855,0.22,0,144.6,38.5
